Front,Back,My Sentences,Topic,Custom Topic
"subordinate clause structure 🔗","A subordinate clause provides additional information but cannot stand alone; it depends on a main clause for completeness. Understanding their placement and punctuation is crucial for sophisticated writing.","The conference, **which was held virtually**, attracted thousands of participants. / **Although she had extensive experience**, she approached the task with humility.","Sentence Structure"
"compound-complex sentence 📊","A sentence combining two or more independent clauses with one or more subordinate clauses, creating nuanced expressions of multiple ideas simultaneously.","**Because the market was volatile**, investors diversified their portfolios, **whereas** they had previously concentrated on single sectors.","Sentence Structure"
"parallelism and balance ⚖️","Using consistent grammatical structures for related ideas to create rhythm, clarity, and persuasive impact in writing.","She valued not only **intellectual rigor**, but also **emotional intelligence** and **practical wisdom**. / The executives decided to **restructure operations**, **streamline processes**, and **reallocate resources**.","Sentence Structure"
"ellipsis and omission 🎯","Deliberately omitting words that are understood from context, creating conciseness and sophisticated style in advanced discourse.","He considers himself pragmatic; she, **idealistic**. / The manager approved some proposals, the director **none of them**.","Sentence Structure"
"inversion and fronting 🔄","Moving elements to the beginning of a sentence for emphasis, focus, or stylistic effect—a hallmark of advanced English.","**Never before** had the organization faced such unprecedented challenges. / **Critical to success** is understanding the stakeholder expectations.","Sentence Structure"
"preposition + abstract noun 🎨","Using prepositions with abstract concepts to express sophisticated relationships and nuanced meanings.","The lack **of consensus** hindered progress. / **By virtue of** his expertise, he was appointed to the committee. / The company operates **in accordance with** international standards.","Prepositions"
"preposition + gerund 💭","Prepositions followed by gerunds create advanced constructions for expressing actions, conditions, and relationships.","Instead **of dwelling on** past failures, she focused on future opportunities. / **Upon completing** the project, the team celebrated their achievement. / We're committed to **addressing** these disparities.","Prepositions"
"verb + preposition collocation 🔗","Specific verb-preposition combinations that carry precise meanings in professional and academic contexts.","The board decided to **delve into** the quarterly performance metrics. / The initiative aims to **bridge the gap** between theory and practice. / She **succumbed to** pressure from shareholders.","Prepositions"
"preposition stranding ❓","In informal contexts and interrogative structures, placing prepositions at the end of sentences—acceptable in modern usage but requires register awareness.","**What are you talking about?** (vs. About what are you talking?) / The challenges we're facing **are unprecedented.** (vs. The challenges about which we face...)","Prepositions"
"dual prepositions 🎭","Using two prepositions together to express complex spatial, temporal, or conceptual relationships precisely.","The document was prepared **with regard to** the new guidelines. / The decision came **as a result of** extensive deliberation. / **Out of** all the candidates, she stood **out from** the rest.","Prepositions"
"'might have' vs 'could have' 🤔","**Might have** implies lower probability of a past event (speculative); **could have** suggests capability or possibility in past context.","The error **might have gone** unnoticed if not for the audit. / With better planning, we **could have avoided** delays.","Modal Verbs"
"'must have' vs 'should have' ✓","**Must have** indicates logical deduction about past certainty; **should have** expresses obligation or advice not fulfilled.","Given the evidence, she **must have known** about the discrepancy. / The company **should have invested** in cybersecurity earlier.","Modal Verbs"
"'would' in unreal conditionals 🌌","**Would** expresses hypothetical or impossible situations in present/future conditionals and hypothetical past scenarios.","**If regulations were stricter**, companies **would adopt** greener practices. / **Had I known**, I **would have** approached it differently.","Modal Verbs"
"'may' for permission and possibility 🔓","**May** conveys both formal permission and possibility/uncertainty—more formal than 'can' and less certain than 'will'.","You **may proceed** with the proposal. / The merger **may strengthen** our market position, or it **may create** unforeseen challenges.","Modal Verbs"
"'ought to' and 'need to' ⚡","**Ought to** implies moral or logical obligation; **need to** emphasizes necessity. Both signal different degrees of imperative force.","Society **ought to address** inequality systematically. / Executives **need to** balance short-term gains with long-term sustainability.","Modal Verbs"
"'to' omission in reported speech 📢","In some reported structures, particularly with certain verbs (tell, ask, demand), 'to' is omitted before the infinitive.","He told her **call** the client immediately. (vs. asked her **to call**) / The directive demanded they **complete** the report by Friday.","Reported Speech"
"backshift in reported questions ❓","In reported questions, verb tenses shift backward and question word order changes to statement order.","Direct: **'When will the results be announced?'** Reported: He asked when **the results would be announced**. / She inquired whether **we had considered** alternative approaches.","Reported Speech"
"reported imperatives 🎯","Commands and requests in reported speech use 'to + infinitive' or 'not to + infinitive' structures.","Direct: **'Submit the proposal by Friday.'** Reported: The manager instructed the team **to submit** the proposal by Friday. / She urged them **not to compromise** on quality.","Reported Speech"
"'that'-clauses vs infinitive structures 🔀","Some verbs allow both structures with subtle meaning differences; infinitives emphasize the action, 'that'-clauses the information.","He suggested **that we postpone** the meeting. (vs. He suggested **postponing** the meeting.) / She recommended **that they hire** an external consultant. (vs. **hiring** an external consultant.)","Reported Speech"
"reported exclamations 😲","Exclamations in reported speech use 'how' or 'what' structures.","Direct: **'What an extraordinary achievement!'** Reported: They expressed amazement at **what an extraordinary achievement** it was. / She exclaimed **how relieved** she felt about the outcome.","Reported Speech"
"agent in passive constructions 🔍","The 'by + agent' phrase in passive voice can be omitted when the agent is obvious, unknown, or unimportant; it's essential when the agent provides crucial information.","The proposal **was rejected** (agent unknown or unimportant). / The guidelines **were established by the regulatory board** (agent provides essential context).","Active vs Passive Voice"
"promotional passives 📣","Using passive voice strategically in professional contexts to shift focus, soften criticism, or emphasize action over actor.","The decision **was made to restructure** operations. (vs. We restructured...) / **It has been determined** that additional oversight is necessary.","Active vs Passive Voice"
"passive infinitives 🔗","Infinitive forms in passive voice, particularly in reported structures and after certain verbs.","The candidates expect **to be notified** of results within two weeks. / The strategy is designed **to be implemented** in phases. / She requested **to be kept** informed of developments.","Active vs Passive Voice"
"fronting with passives 🎬","Moving passive constructions to sentence-initial position for emphasis and stylistic sophistication.","**Given the complexities involved**, a comprehensive approach **was deemed necessary**. / **Despite numerous objections**, the initiative **was ultimately approved**.","Active vs Passive Voice"
"get-passives 🎯","Using **get + past participle** as an alternative to be-passives, often suggesting achievement or involvement in informal/dynamic contexts.","The proposal **got rejected** by the committee. (less formal than 'was rejected') / The project **got completed** ahead of schedule.","Active vs Passive Voice"
"reflexive pronouns for emphasis 🪞","**Myself, yourself, himself**, etc. can emphasize the subject or object, indicating direct involvement or sole responsibility.","The CEO **herself** attended the meeting. / We **ourselves** must address this systemic issue. / He **personally** witnessed the incident.","Pronouns & Determiners"
"demonstratives and definiteness 🎯","**This/that, these/those** convey proximity, contrast, and narrative flow. **The** signals known information; **a/an** signals new information—crucial distinctions in discourse.","This approach **has merit**, but **that methodology** offers more robust outcomes. / The findings **were surprising**; a subsequent study **confirmed** them.","Pronouns & Determiners"
"quantifiers and precision 📊","**Some, most, all, several, few**—precise quantification creates sophisticated discourse. Omitting articles with uncountable nouns and plural generics.","**Most stakeholders** agreed with the proposal. / **Few alternatives** offered similar advantages. / **Expertise** (uncountable) **and experience** (uncountable) are essential qualities.","Pronouns & Determiners"
"relative pronouns and non-finite clauses 🔗","**Who, whom, whose, which, that** introduce relative clauses. Reduced relatives (participles) create sophisticated, concise structures.","The consultant **whom** we hired has extensive experience. / The framework **that governs** our operations requires updating. / **Having analyzed** the data, the team identified key trends.","Pronouns & Determiners"
"pronoun reference and ambiguity ⚠️","Maintaining clear pronoun reference to avoid ambiguity; understanding when pronouns reference preceding or following nouns, and managing complex antecedents.","The manager told the junior associate **she** had performed excellently. (ambiguous—whose performance?) / **It** became evident that structural reforms were necessary. (**It** = the realization/state)","Pronouns & Determiners"
"first conditional: factual basis 🔮","**If + present, will + base verb**—used for situations with real possibility, advice, and general truths.","**If you submit** the application early, you'll have a better chance of acceptance. / **If carbon emissions** continue unchecked, climate impacts **will intensify**.","Conditional"
"second conditional: hypothetical present ✨","**If + past, would/could + base verb**—for unlikely or impossible situations in present/future, expressing contrary-to-fact scenarios.","**If I were** the CEO, I **would prioritize** sustainability. / **If resources** were unlimited, organizations **could scale** operations exponentially.","Conditional"
"third conditional: unreal past 🌌","**If + past perfect, would/could/might have + past participle**—expresses regret, blame, or speculation about past events.","**Had the board recognized** the risks early, they **would have mitigated** the crisis. / **If she had accepted** the position, her career trajectory **might have been** entirely different.","Conditional"
"mixed conditionals 🔄","Combining different conditional structures to express how past events influence present situations or vice versa.","**If he had studied** engineering (unreal past), he **would have better skills** now (present result). / **If she were more assertive** now, she **would have seized** past opportunities.","Conditional"
"unless and other alternatives 🚪","**Unless** (negative condition) and other structures like **provided that, as long as, in case** create sophisticated conditional meanings.","**Unless** management intervenes, performance **will continue** to decline. / The project **will proceed provided that** funding is secured. / We'll address concerns **as long as** they're evidence-based.","Conditional"
"embedded questions 🎯","Questions within statements, maintaining question word order and tense relationships despite the embedding.","**What time the meeting starts** remains unclear. (vs. The meeting starts at... what time?) / I'm unsure **whether the proposal** aligns with our objectives. / The board hasn't decided **where** the new office **will be located**.","Questions & Indirect Questions"
"polite indirect questions 🎭","Softening direct questions through indirection, creating formality and politeness in professional contexts.","**Would you mind explaining** your methodology? / **I wonder if you could clarify** your position. / **Could you possibly elaborate** on that point?","Questions & Indirect Questions"
"rhetorical questions 💬","Questions posed for effect rather than expecting answers, used for emphasis, persuasion, or to engage audiences.","**Shouldn't we prioritize** sustainability? (Implies: Yes, we should.) / **Who wouldn't want** better working conditions? (Implies: Everyone would.) / **Haven't we exhausted** all reasonable alternatives?","Questions & Indirect Questions"
"question tags 🏷️","Short questions appended to statements to confirm, seek agreement, or manage discourse politeness—tense and polarity crucial.","You've reviewed the report, **haven't you?** (expecting agreement) / This approach seems viable, **doesn't it?** / They won't object, **will they?**","Questions & Indirect Questions"
"left dislocations and fronting ⬅️","Moving elements to the sentence start for focus and discourse management, creating sophisticated narrative flow.","**The proposal itself**, we need to evaluate more carefully. / **Those documents**, the department **has archived** indefinitely. / **Risk management**, it's a subject we can't ignore.","Questions & Indirect Questions"
"nuance and register 🎭","Understanding subtle differences in tone, formality, and context-appropriateness—essential for C1 sophistication.","'I didn't have time' (casual) vs. '**I was unable to devote adequate attention**' (formal) / '**The initiative proved efficacious**' (academic) vs. 'It worked well' (casual)","General English"
"collocations: verb + noun 🔗","Specific verb-noun combinations that native speakers use; incorrect collocations mark non-native speakers immediately.","**Make progress** (not 'do progress') / **Raise awareness** (not 'increase awareness') / **Conduct research** (not 'make research') / **Grasp the concept** (not 'understand the concept' in academic writing)","General English"
"discourse markers and cohesion 🌉","Words and phrases that connect ideas, signal relationships, and create smooth transitions between thoughts.","**Furthermore, the data suggests**... / **In contrast, some researchers argue**... / **To put it another way**, the findings **reinforce** previous conclusions. / **Nevertheless, we cannot ignore** alternative perspectives.","General English"
"hedging and precision ⚠️","Using hedging language ('somewhat', 'arguably', 'it could be argued') to present ideas with appropriate caution and nuance in academic/professional contexts.","The data **appears to suggest** a correlation. / This approach **may potentially** address some underlying issues. / **One could argue** that innovation **typically requires** risk-taking.","General English"
"figurative language and idioms 🎨","Metaphors, similes, and idiomatic expressions that create vivid, memorable language—when appropriate to context.","The initiative **gathered momentum** like a rolling boulder. / Progress **has stalled** in recent months. / The new policy **was a game-changer**. / **Pushing boundaries** and **breaking silos** are organizational imperatives.","General English"
"business terminology 💼","High-frequency terms in professional English that convey specific, sophisticated meanings.","**Leverage** our competitive advantages. / **Synergize** efforts across departments. / **Stakeholder alignment** is crucial for success. / **Operational excellence** requires continuous **optimization** of processes.","Common Themes"
"academic discourse markers 📚","Phrases specific to academic writing that position ideas, show relationships, and maintain scholarly tone.","**The empirical evidence substantiates** the hypothesis. / **Preliminary findings suggest** merit further investigation. / **To elucidate**, the mechanism works as follows. / **In light of** recent developments, we must reconsider our framework.","Common Themes"
"diplomatic and formal expressions 🎩","Language for sensitive or formal situations, maintaining professionalism and respect while conveying serious messages.","**We appreciate your perspective**, and **we're mindful of** your concerns. / **It would behoove us** to address this proactively. / **We regret to inform you** of necessary changes. / **Your contribution** has been **invaluable**.","Common Themes"
"persuasion and argumentation 🎯","Rhetorical techniques and structures that strengthen arguments, convince audiences, and create impact.","**The evidence overwhelmingly demonstrates**... / **Not only do we achieve cost savings**, but we **also enhance sustainability**. / **If we fail to act now**, the consequences **will be irreversible**. / **Consider the following**: three **compelling reasons** why this approach **is optimal**.","Common Themes"
"precise distinctions 🔍","Understanding subtle semantic differences that native speakers intuitively grasp, crucial for C1 mastery.","**Significant** (important) vs. **Significant** (statistically significant in research) / **Outcome** (result) vs. **Outlook** (future perspective) / **Implement** (put into practice) vs. **Imply** (suggest indirectly)","Common Themes"